Product Title,bcf_role,bcf_stems_per_bunch,current_bunch_price_snapshot
Acacia Foliage - Pearl Silver,greenery,10,27
Agonis Foliage,greenery,10,28
Air Plants - Medium,greenery,10,9
Aspidistra Leaves - Variegated,greenery,10,32
Bupleurum,greenery,10,23
Curly Willow,greenery,10,34
Dusty Miller,greenery,10,34
Eucalyptus - Baby Blue/Spiral,greenery,10,21
Eucalyptus - Gunni,greenery,10,23
Eucalyptus - Seeded,greenery,10,23
Eucalyptus - Silver Dollar,greenery,10,23
Eucalyptus - willow,greenery,10,23
Garland - By the foot,greenery,10,23
Grevillea,greenery,10,26
Huckleberry,greenery,10,19
Israeli Ruscus,greenery,10,23
Italian Ruscus,greenery,10,23
Leather Leaf,greenery,10,18
Magnolia Leaves,greenery,10,27
Monstera Leaves,greenery,10,20
Nagi,greenery,10,23
Nandina,greenery,10,28
Olive Branch,greenery,10,23
Pampas Grass,greenery,10,34
Pittosporum,greenery,10,23
Pittosporum - Nigra Variegated,greenery,10,22
Plumosa,greenery,10,17
Robellini Palm,greenery,10,23
Sage,greenery,10,23
Salal Tips,greenery,10,17
Salal/Lemon Leaf,greenery,10,23
Silver Queen Pittosporum,greenery,10,23
Sword Fern,greenery,10,20
Tree Fern,greenery,10,15
Variegate Pittosporum,greenery,10,23
Weeping Podo,greenery,10,16
Bells of Ireland - Green,line,10,40
Delphinium - Dark Blue,line,10,42
Delphinium - Lavender,line,10,85
Delphinium - Light Blue,line,10,42
Delphinium - White,line,10,42
Foxglove - Lavender (variegated),line,10,44
Snapdragon - Orange,line,10,36
Snapdragon - Pink,line,10,36
Snapdragon - Pink/White,line,10,36
Snapdragon - Yellow,line,10,36
Snapdragons - Burgundy,line,10,36
Snapdragons - Dark Pink (Medium Pink),line,10,36
Snapdragons - Sorbet,line,10,36
Snapdragons - White,line,10,36
Stock - Blush,line,10,28
Stock - Dark Purple,line,10,28
Stock - Fuchsia,line,10,34
Stock - Lavender,line,10,28
Stock - Mauve,line,10,28
Stock - Peach,line,10,28
Stock - Pink,line,10,28
Stock - Purple,line,10,28
Stock - White,line,10,28
Stock - Yellow,line,10,28
Stock -Burgundy,line,10,28
Veronica - Purple,line,10,27
Veronica - White,line,10,28
Hydrangea - Antique Green,large,5,70
Hydrangea - Burgundy,large,5,51
Hydrangea - Dark Purple,large,5,51
Hydrangea - Green,large,5,45
Hydrangea - Lavender,large,5,45
Hydrangea - Light Blue,large,5,45
Hydrangea - Light Pink,large,5,45
Hydrangea - Mini Green,large,5,40
Hydrangea - White,large,5,45
Hydrangea - White (Large),large,5,68
King Protea,large,5,34
Astilbe - Light Pink,focal,10,42
Black Eyed Susan,focal,10,40
Blushing Bride Protea,focal,5,51
Calla Lily - White,focal,10,67
Calla Lily Mini - Burgundy,focal,10,56
Calla Lily Mini - Pink/Mauve,focal,10,56
Calla Lily Mini - White,focal,10,56
Carnation - Bi-color Pink/Yellow,focal,25,54
Carnation - Cobalt Thrill Magenta/Mauve,focal,25,51
Carnation - Creola Antique Pink,focal,25,54
Carnation - Crimson Tempo,focal,25,51
Carnation - Green,focal,25,51
Carnation - Hot Pink,focal,25,51
Carnation - Hypnosis,focal,25,51
Carnation - Light Orange,focal,25,51
Carnation - Nobbio Burgundy,focal,25,51
Carnation - Peach,focal,25,51
Carnation - Sepia Mauve,focal,25,51
Carnation - Terra-Cotta/Le Marrone Beige,focal,25,51
Carnation - Yellow,focal,25,51
Carnations - Babylon - Deep Pink,focal,25,51
Carnations - Betsy Light Pink,focal,25,51
Carnations - Blush,focal,25,51
Carnations - Brut/Light Blush,focal,25,51
Carnations - Burgundy,focal,25,51
Carnations - Cream,focal,25,51
Carnations - Deep Pink,focal,25,51
Carnations - Hot Pink,focal,25,51
Carnations - Moonaqua Fancy,focal,25,51
Carnations - Moonlight Fancy,focal,25,51
Carnations - Moonshade Fancy,focal,25,51
Carnations - Moonvista Fancy,focal,25,51
Carnations - Red,focal,25,51
Carnations - White,focal,25,51
China Mum - White,focal,10,34
Chrysanthemum - Blush,focal,10,51
Chrysanthemum - Burgundy/Red,focal,10,51
Chrysanthemum - Lavender,focal,10,42
Chrysanthemum - Salmon,focal,10,51
Chrysanthemum - White,focal,10,51
Football Mum - Bronze,focal,10,51
Football Mums - Cream,focal,10,51
Fuji Mum - Bronze,focal,10,21
